n_neighbors,algorithm,cv,dataset,score
3,auto,2,digits_data,0.9593788941437034
4,auto,2,digits_data,0.9543683776331534
5,auto,2,digits_data,0.953256030580873
6,auto,2,digits_data,0.9493609578571588
7,auto,2,digits_data,0.9493609578571588
8,auto,2,digits_data,0.9488060230248407
9,auto,2,digits_data,0.9454665044803556
10,auto,2,digits_data,0.9482504688456117
11,auto,2,digits_data,0.9437986032488461
12,auto,2,digits_data,0.9421288439766036
13,auto,2,digits_data,0.9387887060852073
14,auto,2,digits_data,0.9393479763459027
15,auto,2,digits_data,0.9399022918313097
16,auto,2,digits_data,0.9399022918313097
17,auto,2,digits_data,0.938231913212156
18,auto,2,digits_data,0.9399035305251318
19,auto,2,digits_data,0.9387899447790293
20,auto,2,digits_data,0.9387899447790293
21,auto,2,digits_data,0.9387893254321183
22,auto,2,digits_data,0.9382331519059781
23,auto,2,digits_data,0.9365627732868245
24,auto,2,digits_data,0.9354504262345442
25,auto,2,digits_data,0.9348923946676708
26,auto,2,digits_data,0.9337800476153906
27,auto,2,digits_data,0.932665842522377
28,auto,2,digits_data,0.9315528761231856
29,auto,2,digits_data,0.9287701504517516
30,auto,2,digits_data,0.924317665508075
31,auto,2,digits_data,0.9237621113288459
32,auto,2,digits_data,0.9232053184557947
33,auto,2,digits_data,0.9220917327096922
34,auto,2,digits_data,0.9226479062358324
35,auto,2,digits_data,0.9215361785304632
36,auto,2,digits_data,0.9204225927843608
37,auto,2,digits_data,0.9170836935867867
38,auto,2,digits_data,0.9165269007137353
39,auto,2,digits_data,0.915969488493773
40,auto,2,digits_data,0.918751594818296
41,auto,2,digits_data,0.915969488493773
42,auto,2,digits_data,0.9148559027476706
43,auto,2,digits_data,0.915968249799951
44,auto,2,digits_data,0.9165262813668242
45,auto,2,digits_data,0.9154126956207218
46,auto,2,digits_data,0.9159701078406841
47,auto,2,digits_data,0.9143003485684416
48,auto,2,digits_data,0.9131873821692502
49,auto,2,digits_data,0.909848482971676
3,ball_tree,2,digits_data,0.9599350676698435
4,ball_tree,2,digits_data,0.9543683776331534
5,ball_tree,2,digits_data,0.953256030580873
6,ball_tree,2,digits_data,0.9493609578571588
7,ball_tree,2,digits_data,0.9493609578571588
8,ball_tree,2,digits_data,0.949362815897892
9,ball_tree,2,digits_data,0.9454665044803556
10,ball_tree,2,digits_data,0.9476936759725605
11,ball_tree,2,digits_data,0.9437986032488461
12,ball_tree,2,digits_data,0.9426856368496548
13,ball_tree,2,digits_data,0.9393454989582585
14,ball_tree,2,digits_data,0.9393479763459027
15,ball_tree,2,digits_data,0.9399022918313097
16,ball_tree,2,digits_data,0.9399022918313097
17,ball_tree,2,digits_data,0.938231913212156
18,ball_tree,2,digits_data,0.9410164969243233
19,ball_tree,2,digits_data,0.9382331519059781
20,ball_tree,2,digits_data,0.9393467376520805
21,ball_tree,2,digits_data,0.9382325325590671
22,ball_tree,2,digits_data,0.9382331519059781
23,ball_tree,2,digits_data,0.9365627732868245
24,ball_tree,2,digits_data,0.9354504262345442
25,ball_tree,2,digits_data,0.9348923946676708
26,ball_tree,2,digits_data,0.9337800476153906
27,ball_tree,2,digits_data,0.932665842522377
28,ball_tree,2,digits_data,0.9309967025970455
29,ball_tree,2,digits_data,0.9287701504517516
30,ball_tree,2,digits_data,0.924317665508075
31,ball_tree,2,digits_data,0.9237621113288459
32,ball_tree,2,digits_data,0.9232053184557947
33,ball_tree,2,digits_data,0.9226485255827435
34,ball_tree,2,digits_data,0.9226479062358324
35,ball_tree,2,digits_data,0.9215361785304632
36,ball_tree,2,digits_data,0.9204225927843608
37,ball_tree,2,digits_data,0.9170836935867867
38,ball_tree,2,digits_data,0.9165269007137353
39,ball_tree,2,digits_data,0.9165256620199133
40,ball_tree,2,digits_data,0.918751594818296
41,ball_tree,2,digits_data,0.915969488493773
42,ball_tree,2,digits_data,0.9148559027476706
43,ball_tree,2,digits_data,0.915968249799951
44,ball_tree,2,digits_data,0.9165262813668242
45,ball_tree,2,digits_data,0.915969488493773
46,ball_tree,2,digits_data,0.9159701078406841
47,ball_tree,2,digits_data,0.9143003485684416
48,ball_tree,2,digits_data,0.9131873821692502
49,ball_tree,2,digits_data,0.9104046564978161
3,kd_tree,2,digits_data,0.9599350676698435
4,kd_tree,2,digits_data,0.9543683776331534
5,kd_tree,2,digits_data,0.953256030580873
6,kd_tree,2,digits_data,0.9493609578571588
7,kd_tree,2,digits_data,0.9493609578571588
8,kd_tree,2,digits_data,0.9488060230248407
9,kd_tree,2,digits_data,0.9454665044803556
10,kd_tree,2,digits_data,0.9476936759725605
11,kd_tree,2,digits_data,0.9437986032488461
12,kd_tree,2,digits_data,0.9421288439766036
13,kd_tree,2,digits_data,0.9387887060852073
14,kd_tree,2,digits_data,0.939904149872043
15,kd_tree,2,digits_data,0.9404590847043609
16,kd_tree,2,digits_data,0.9399022918313097
17,kd_tree,2,digits_data,0.938231913212156
18,kd_tree,2,digits_data,0.940459704051272
19,kd_tree,2,digits_data,0.9387893254321183
20,kd_tree,2,digits_data,0.9393467376520805
21,kd_tree,2,digits_data,0.9382325325590671
22,kd_tree,2,digits_data,0.9382331519059781
23,kd_tree,2,digits_data,0.9365627732868245
24,kd_tree,2,digits_data,0.9354504262345442
25,kd_tree,2,digits_data,0.9348923946676708
26,kd_tree,2,digits_data,0.9337800476153906
27,kd_tree,2,digits_data,0.9321096689962368
28,kd_tree,2,digits_data,0.9309967025970455
29,kd_tree,2,digits_data,0.9287701504517516
30,kd_tree,2,digits_data,0.924317665508075
31,kd_tree,2,digits_data,0.9237621113288459
32,kd_tree,2,digits_data,0.9232053184557947
33,kd_tree,2,digits_data,0.9226485255827435
34,kd_tree,2,digits_data,0.9226479062358324
35,kd_tree,2,digits_data,0.9215361785304632
36,kd_tree,2,digits_data,0.9204225927843608
37,kd_tree,2,digits_data,0.9170836935867867
38,kd_tree,2,digits_data,0.9170830742398755
39,kd_tree,2,digits_data,0.915969488493773
40,kd_tree,2,digits_data,0.918751594818296
41,kd_tree,2,digits_data,0.915969488493773
42,kd_tree,2,digits_data,0.9148559027476706
43,kd_tree,2,digits_data,0.915968249799951
44,kd_tree,2,digits_data,0.9165262813668242
45,kd_tree,2,digits_data,0.915969488493773
46,kd_tree,2,digits_data,0.9159701078406841
47,kd_tree,2,digits_data,0.9143003485684416
48,kd_tree,2,digits_data,0.9131873821692502
49,kd_tree,2,digits_data,0.909848482971676
3,brute,2,digits_data,0.9593788941437034
4,brute,2,digits_data,0.9543683776331534
5,brute,2,digits_data,0.953256030580873
6,brute,2,digits_data,0.9493609578571588
7,brute,2,digits_data,0.9493609578571588
8,brute,2,digits_data,0.9488060230248407
9,brute,2,digits_data,0.9454665044803556
10,brute,2,digits_data,0.9482504688456117
11,brute,2,digits_data,0.9437986032488461
12,brute,2,digits_data,0.9421288439766036
13,brute,2,digits_data,0.9387887060852073
14,brute,2,digits_data,0.9393479763459027
15,brute,2,digits_data,0.9399022918313097
16,brute,2,digits_data,0.9399022918313097
17,brute,2,digits_data,0.938231913212156
18,brute,2,digits_data,0.9399035305251318
19,brute,2,digits_data,0.9387899447790293
20,brute,2,digits_data,0.9387899447790293
21,brute,2,digits_data,0.9387893254321183
22,brute,2,digits_data,0.9382331519059781
23,brute,2,digits_data,0.9365627732868245
24,brute,2,digits_data,0.9354504262345442
25,brute,2,digits_data,0.9348923946676708
26,brute,2,digits_data,0.9337800476153906
27,brute,2,digits_data,0.932665842522377
28,brute,2,digits_data,0.9315528761231856
29,brute,2,digits_data,0.9287701504517516
30,brute,2,digits_data,0.924317665508075
31,brute,2,digits_data,0.9237621113288459
32,brute,2,digits_data,0.9232053184557947
33,brute,2,digits_data,0.9220917327096922
34,brute,2,digits_data,0.9226479062358324
35,brute,2,digits_data,0.9215361785304632
36,brute,2,digits_data,0.9204225927843608
37,brute,2,digits_data,0.9170836935867867
38,brute,2,digits_data,0.9165269007137353
39,brute,2,digits_data,0.915969488493773
40,brute,2,digits_data,0.918751594818296
41,brute,2,digits_data,0.915969488493773
42,brute,2,digits_data,0.9148559027476706
43,brute,2,digits_data,0.915968249799951
44,brute,2,digits_data,0.9165262813668242
45,brute,2,digits_data,0.9154126956207218
46,brute,2,digits_data,0.9159701078406841
47,brute,2,digits_data,0.9143003485684416
48,brute,2,digits_data,0.9131873821692502
49,brute,2,digits_data,0.909848482971676
3,auto,3,digits_data,0.9682804674457429
4,auto,3,digits_data,0.9638286032276016
5,auto,3,digits_data,0.9627156371730662
6,auto,3,digits_data,0.9599332220367279
7,auto,3,digits_data,0.9593767390094602
8,auto,3,digits_data,0.9571508069003896
9,auto,3,digits_data,0.9565943238731219
10,auto,3,digits_data,0.9543683917640512
11,auto,3,digits_data,0.9543683917640511
12,auto,3,digits_data,0.9538119087367836
13,auto,3,digits_data,0.9510294936004451
14,auto,3,digits_data,0.9493600445186422
15,auto,3,digits_data,0.9471341124095716
16,auto,3,digits_data,0.9465776293823037
17,auto,3,digits_data,0.9454646633277685
18,auto,3,digits_data,0.9476905954368391
19,auto,3,digits_data,0.9454646633277685
20,auto,3,digits_data,0.941569282136895
21,auto,3,digits_data,0.941569282136895
22,auto,3,digits_data,0.9432387312186977
23,auto,3,digits_data,0.9404563160823596
24,auto,3,digits_data,0.941569282136895
25,auto,3,digits_data,0.9398998330550917
26,auto,3,digits_data,0.9376739009460211
27,auto,3,digits_data,0.9376739009460211
28,auto,3,digits_data,0.9365609348914857
29,auto,3,digits_data,0.9360044518642182
30,auto,3,digits_data,0.934891485809683
31,auto,3,digits_data,0.934891485809683
32,auto,3,digits_data,0.9343350027824151
33,auto,3,digits_data,0.9332220367278797
34,auto,3,digits_data,0.9321090706733445
35,auto,3,digits_data,0.9326655537006122
36,auto,3,digits_data,0.9304396215915416
37,auto,3,digits_data,0.9293266555370062
38,auto,3,digits_data,0.9304396215915416
39,auto,3,digits_data,0.928213689482471
40,auto,3,digits_data,0.928213689482471
41,auto,3,digits_data,0.9271007234279355
42,auto,3,digits_data,0.9265442404006677
43,auto,3,digits_data,0.9259877573734002
44,auto,3,digits_data,0.9243183082915971
45,auto,3,digits_data,0.9220923761825265
46,auto,3,digits_data,0.9237618252643295
47,auto,3,digits_data,0.9237618252643295
48,auto,3,digits_data,0.9243183082915971
49,auto,3,digits_data,0.9232053422370617
3,ball_tree,3,digits_data,0.9682804674457429
4,ball_tree,3,digits_data,0.9638286032276016
5,ball_tree,3,digits_data,0.9627156371730662
6,ball_tree,3,digits_data,0.9599332220367279
7,ball_tree,3,digits_data,0.9593767390094602
8,ball_tree,3,digits_data,0.9565943238731219
9,ball_tree,3,digits_data,0.9565943238731219
10,ball_tree,3,digits_data,0.9549248747913189
11,ball_tree,3,digits_data,0.9543683917640511
12,ball_tree,3,digits_data,0.9538119087367836
13,ball_tree,3,digits_data,0.9510294936004451
14,ball_tree,3,digits_data,0.9493600445186422
15,ball_tree,3,digits_data,0.9471341124095716
16,ball_tree,3,digits_data,0.9471341124095716
17,ball_tree,3,digits_data,0.9454646633277685
18,ball_tree,3,digits_data,0.9476905954368391
19,ball_tree,3,digits_data,0.9454646633277685
20,ball_tree,3,digits_data,0.9421257651641625
21,ball_tree,3,digits_data,0.9410127991096271
22,ball_tree,3,digits_data,0.9432387312186977
23,ball_tree,3,digits_data,0.9404563160823596
24,ball_tree,3,digits_data,0.9410127991096271
25,ball_tree,3,digits_data,0.9398998330550917
26,ball_tree,3,digits_data,0.9376739009460211
27,ball_tree,3,digits_data,0.938230383973289
28,ball_tree,3,digits_data,0.9365609348914857
29,ball_tree,3,digits_data,0.9360044518642182
30,ball_tree,3,digits_data,0.934891485809683
31,ball_tree,3,digits_data,0.934891485809683
32,ball_tree,3,digits_data,0.9343350027824151
33,ball_tree,3,digits_data,0.9332220367278797
34,ball_tree,3,digits_data,0.9321090706733445
35,ball_tree,3,digits_data,0.9326655537006122
36,ball_tree,3,digits_data,0.9304396215915416
37,ball_tree,3,digits_data,0.9293266555370062
38,ball_tree,3,digits_data,0.9304396215915416
39,ball_tree,3,digits_data,0.9287701725097385
40,ball_tree,3,digits_data,0.9276572064552031
41,ball_tree,3,digits_data,0.9271007234279355
42,ball_tree,3,digits_data,0.9265442404006677
43,ball_tree,3,digits_data,0.9259877573734002
44,ball_tree,3,digits_data,0.9243183082915971
45,ball_tree,3,digits_data,0.9220923761825265
46,ball_tree,3,digits_data,0.9237618252643295
47,ball_tree,3,digits_data,0.9237618252643295
48,ball_tree,3,digits_data,0.9232053422370617
49,ball_tree,3,digits_data,0.9237618252643295
3,kd_tree,3,digits_data,0.9682804674457429
4,kd_tree,3,digits_data,0.9638286032276016
5,kd_tree,3,digits_data,0.9627156371730662
6,kd_tree,3,digits_data,0.9599332220367279
7,kd_tree,3,digits_data,0.9593767390094602
8,kd_tree,3,digits_data,0.9571508069003896
9,kd_tree,3,digits_data,0.9565943238731219
10,kd_tree,3,digits_data,0.9549248747913189
11,kd_tree,3,digits_data,0.9543683917640511
12,kd_tree,3,digits_data,0.9538119087367836
13,kd_tree,3,digits_data,0.9510294936004451
14,kd_tree,3,digits_data,0.9493600445186422
15,kd_tree,3,digits_data,0.9471341124095716
16,kd_tree,3,digits_data,0.9471341124095716
17,kd_tree,3,digits_data,0.9454646633277685
18,kd_tree,3,digits_data,0.9476905954368391
19,kd_tree,3,digits_data,0.9454646633277685
20,kd_tree,3,digits_data,0.941569282136895
21,kd_tree,3,digits_data,0.9410127991096271
22,kd_tree,3,digits_data,0.9432387312186977
23,kd_tree,3,digits_data,0.9404563160823596
24,kd_tree,3,digits_data,0.9410127991096271
25,kd_tree,3,digits_data,0.9398998330550917
26,kd_tree,3,digits_data,0.9376739009460211
27,kd_tree,3,digits_data,0.938230383973289
28,kd_tree,3,digits_data,0.9365609348914857
29,kd_tree,3,digits_data,0.9360044518642182
30,kd_tree,3,digits_data,0.934891485809683
31,kd_tree,3,digits_data,0.934891485809683
32,kd_tree,3,digits_data,0.9337785197551476
33,kd_tree,3,digits_data,0.9332220367278797
34,kd_tree,3,digits_data,0.9321090706733445
35,kd_tree,3,digits_data,0.9332220367278797
36,kd_tree,3,digits_data,0.9304396215915416
37,kd_tree,3,digits_data,0.9293266555370062
38,kd_tree,3,digits_data,0.9304396215915416
39,kd_tree,3,digits_data,0.9287701725097385
40,kd_tree,3,digits_data,0.9276572064552031
41,kd_tree,3,digits_data,0.9265442404006677
42,kd_tree,3,digits_data,0.9265442404006677
43,kd_tree,3,digits_data,0.9259877573734002
44,kd_tree,3,digits_data,0.9243183082915971
45,kd_tree,3,digits_data,0.9220923761825265
46,kd_tree,3,digits_data,0.9237618252643295
47,kd_tree,3,digits_data,0.9237618252643295
48,kd_tree,3,digits_data,0.9232053422370617
49,kd_tree,3,digits_data,0.9232053422370617
3,brute,3,digits_data,0.9682804674457429
4,brute,3,digits_data,0.9638286032276016
5,brute,3,digits_data,0.9627156371730662
6,brute,3,digits_data,0.9599332220367279
7,brute,3,digits_data,0.9593767390094602
8,brute,3,digits_data,0.9571508069003896
9,brute,3,digits_data,0.9565943238731219
10,brute,3,digits_data,0.9543683917640512
11,brute,3,digits_data,0.9543683917640511
12,brute,3,digits_data,0.9538119087367836
13,brute,3,digits_data,0.9510294936004451
14,brute,3,digits_data,0.9493600445186422
15,brute,3,digits_data,0.9471341124095716
16,brute,3,digits_data,0.9465776293823037
17,brute,3,digits_data,0.9454646633277685
18,brute,3,digits_data,0.9476905954368391
19,brute,3,digits_data,0.9454646633277685
20,brute,3,digits_data,0.941569282136895
21,brute,3,digits_data,0.941569282136895
22,brute,3,digits_data,0.9432387312186977
23,brute,3,digits_data,0.9404563160823596
24,brute,3,digits_data,0.941569282136895
25,brute,3,digits_data,0.9398998330550917
26,brute,3,digits_data,0.9376739009460211
27,brute,3,digits_data,0.9376739009460211
28,brute,3,digits_data,0.9365609348914857
29,brute,3,digits_data,0.9360044518642182
30,brute,3,digits_data,0.934891485809683
31,brute,3,digits_data,0.934891485809683
32,brute,3,digits_data,0.9343350027824151
33,brute,3,digits_data,0.9332220367278797
34,brute,3,digits_data,0.9321090706733445
35,brute,3,digits_data,0.9326655537006122
36,brute,3,digits_data,0.9304396215915416
37,brute,3,digits_data,0.9293266555370062
38,brute,3,digits_data,0.9304396215915416
39,brute,3,digits_data,0.928213689482471
40,brute,3,digits_data,0.928213689482471
41,brute,3,digits_data,0.9271007234279355
42,brute,3,digits_data,0.9265442404006677
43,brute,3,digits_data,0.9259877573734002
44,brute,3,digits_data,0.9243183082915971
45,brute,3,digits_data,0.9220923761825265
46,brute,3,digits_data,0.9237618252643295
47,brute,3,digits_data,0.9237618252643295
48,brute,3,digits_data,0.9243183082915971
49,brute,3,digits_data,0.9232053422370617
3,auto,4,digits_data,0.9632764167285326
4,auto,4,digits_data,0.9643924771096264
5,auto,4,digits_data,0.9627233358079683
6,auto,4,digits_data,0.9604949269982678
7,auto,4,digits_data,0.9582714674585499
8,auto,4,digits_data,0.957713437268003
9,auto,4,digits_data,0.9566060381093788
10,auto,4,digits_data,0.9521516951249691
11,auto,4,digits_data,0.9521479831724821
12,auto,4,digits_data,0.9538195991091314
13,auto,4,digits_data,0.9510343974263796
14,auto,4,digits_data,0.9521492204899777
15,auto,4,digits_data,0.9504800791883197
16,auto,4,digits_data,0.9499257609502598
17,auto,4,digits_data,0.9499245236327643
18,auto,4,digits_data,0.947698589458055
19,auto,4,digits_data,0.9476973521405593
20,auto,4,digits_data,0.9460319227913883
21,auto,4,digits_data,0.9454763672358327
22,auto,4,digits_data,0.9432491957436279
23,auto,4,digits_data,0.9443627814897303
24,auto,4,digits_data,0.9443615441722346
25,auto,4,digits_data,0.942691165553081
26,auto,4,digits_data,0.9443615441722346
27,auto,4,digits_data,0.9426886909180896
28,auto,4,digits_data,0.941018312298936
29,auto,4,digits_data,0.9382343479336798
30,auto,4,digits_data,0.9399034892353378
31,auto,4,digits_data,0.9382343479336799
32,auto,4,digits_data,0.9376800296956199
33,auto,4,digits_data,0.9393466963622866
34,auto,4,digits_data,0.9360084137589706
35,auto,4,digits_data,0.937121999505073
36,auto,4,digits_data,0.9348935906953724
37,auto,4,digits_data,0.9365627319970304
38,auto,4,digits_data,0.9343343231873298
39,auto,4,digits_data,0.9343355605048256
40,auto,4,digits_data,0.9321096263301163
41,auto,4,digits_data,0.9298824548379114
42,auto,4,digits_data,0.9293268992823558
43,auto,4,digits_data,0.9276552833457065
44,auto,4,digits_data,0.9270984904726552
45,auto,4,digits_data,0.9270984904726552
46,auto,4,digits_data,0.9248725562979461
47,auto,4,digits_data,0.9254293491709973
48,auto,4,digits_data,0.9248725562979461
49,auto,4,digits_data,0.9254293491709973
3,ball_tree,4,digits_data,0.9632764167285326
4,ball_tree,4,digits_data,0.9643924771096264
5,ball_tree,4,digits_data,0.9621665429349171
6,ball_tree,4,digits_data,0.9604949269982678
7,ball_tree,4,digits_data,0.9582714674585499
8,ball_tree,4,digits_data,0.957713437268003
9,ball_tree,4,digits_data,0.9566060381093788
10,ball_tree,4,digits_data,0.9521516951249691
11,ball_tree,4,digits_data,0.9521479831724821
12,ball_tree,4,digits_data,0.9538195991091314
13,ball_tree,4,digits_data,0.9510343974263796
14,ball_tree,4,digits_data,0.9521492204899777
15,ball_tree,4,digits_data,0.9504800791883197
16,ball_tree,4,digits_data,0.9499257609502598
17,ball_tree,4,digits_data,0.9499245236327643
18,ball_tree,4,digits_data,0.947698589458055
19,ball_tree,4,digits_data,0.9476973521405593
20,ball_tree,4,digits_data,0.9460319227913883
21,ball_tree,4,digits_data,0.9454763672358327
22,ball_tree,4,digits_data,0.9432491957436279
23,ball_tree,4,digits_data,0.9443627814897303
24,ball_tree,4,digits_data,0.9443615441722346
25,ball_tree,4,digits_data,0.9432479584261322
26,ball_tree,4,digits_data,0.9443615441722346
27,ball_tree,4,digits_data,0.9426886909180896
28,ball_tree,4,digits_data,0.941018312298936
29,ball_tree,4,digits_data,0.9382343479336798
30,ball_tree,4,digits_data,0.9387911408067311
31,ball_tree,4,digits_data,0.9376787923781242
32,ball_tree,4,digits_data,0.9376800296956199
33,ball_tree,4,digits_data,0.9393466963622866
34,ball_tree,4,digits_data,0.9360084137589706
35,ball_tree,4,digits_data,0.937121999505073
36,ball_tree,4,digits_data,0.934338035139817
37,ball_tree,4,digits_data,0.9365627319970304
38,ball_tree,4,digits_data,0.9343343231873298
39,ball_tree,4,digits_data,0.9337787676317744
40,ball_tree,4,digits_data,0.9321096263301163
41,ball_tree,4,digits_data,0.9298824548379114
42,ball_tree,4,digits_data,0.9287701064093046
43,ball_tree,4,digits_data,0.9282120762187577
44,ball_tree,4,digits_data,0.9270984904726552
45,ball_tree,4,digits_data,0.9270984904726552
46,ball_tree,4,digits_data,0.9248725562979461
47,ball_tree,4,digits_data,0.9254293491709973
48,ball_tree,4,digits_data,0.9248725562979461
49,ball_tree,4,digits_data,0.9254293491709973
3,kd_tree,4,digits_data,0.9632764167285326
4,kd_tree,4,digits_data,0.9643924771096264
5,kd_tree,4,digits_data,0.9621665429349171
6,kd_tree,4,digits_data,0.9604949269982678
7,kd_tree,4,digits_data,0.9582714674585499
8,kd_tree,4,digits_data,0.957713437268003
9,kd_tree,4,digits_data,0.9566060381093788
10,kd_tree,4,digits_data,0.9521516951249691
11,kd_tree,4,digits_data,0.9521479831724821
12,kd_tree,4,digits_data,0.9538195991091314
13,kd_tree,4,digits_data,0.9510343974263796
14,kd_tree,4,digits_data,0.952706013363029
15,kd_tree,4,digits_data,0.9510356347438753
16,kd_tree,4,digits_data,0.9499257609502598
17,kd_tree,4,digits_data,0.9499245236327643
18,kd_tree,4,digits_data,0.947698589458055
19,kd_tree,4,digits_data,0.9476973521405593
20,kd_tree,4,digits_data,0.9460319227913883
21,kd_tree,4,digits_data,0.9454763672358327
22,kd_tree,4,digits_data,0.9432491957436279
23,kd_tree,4,digits_data,0.9438059886166791
24,kd_tree,4,digits_data,0.9443615441722346
25,kd_tree,4,digits_data,0.942691165553081
26,kd_tree,4,digits_data,0.9443615441722346
27,kd_tree,4,digits_data,0.9426886909180896
28,kd_tree,4,digits_data,0.941018312298936
29,kd_tree,4,digits_data,0.9382343479336798
30,kd_tree,4,digits_data,0.9399034892353378
31,kd_tree,4,digits_data,0.9382343479336799
32,kd_tree,4,digits_data,0.9376800296956199
33,kd_tree,4,digits_data,0.9404602821083891
34,kd_tree,4,digits_data,0.9360084137589706
35,kd_tree,4,digits_data,0.937121999505073
36,kd_tree,4,digits_data,0.934338035139817
37,kd_tree,4,digits_data,0.9365627319970304
38,kd_tree,4,digits_data,0.9343343231873298
39,kd_tree,4,digits_data,0.9337787676317744
40,kd_tree,4,digits_data,0.9321096263301163
41,kd_tree,4,digits_data,0.9298824548379114
42,kd_tree,4,digits_data,0.9287701064093046
43,kd_tree,4,digits_data,0.9270984904726552
44,kd_tree,4,digits_data,0.9270984904726552
45,kd_tree,4,digits_data,0.9270984904726552
46,kd_tree,4,digits_data,0.9248725562979461
47,kd_tree,4,digits_data,0.9248725562979461
48,kd_tree,4,digits_data,0.9248725562979461
49,kd_tree,4,digits_data,0.9254293491709973
3,brute,4,digits_data,0.9632764167285326
4,brute,4,digits_data,0.9643924771096264
5,brute,4,digits_data,0.9627233358079683
6,brute,4,digits_data,0.9604949269982678
7,brute,4,digits_data,0.9582714674585499
8,brute,4,digits_data,0.957713437268003
9,brute,4,digits_data,0.9566060381093788
10,brute,4,digits_data,0.9521516951249691
11,brute,4,digits_data,0.9521479831724821
12,brute,4,digits_data,0.9538195991091314
13,brute,4,digits_data,0.9510343974263796
14,brute,4,digits_data,0.9521492204899777
15,brute,4,digits_data,0.9504800791883197
16,brute,4,digits_data,0.9499257609502598
17,brute,4,digits_data,0.9499245236327643
18,brute,4,digits_data,0.947698589458055
19,brute,4,digits_data,0.9476973521405593
20,brute,4,digits_data,0.9460319227913883
21,brute,4,digits_data,0.9454763672358327
